Ano ,UF do Municipio ,Valor FOB (US$) ,Quilograma Liquido
2016 ,MG ,21510173787 ,2,03006E+11
2016 ,Não Declarada ,9813 ,2532
2016 ,PA ,10393896340 ,1,67437E+11
2016 ,PB ,133571466 ,124414715
2016 ,PR ,16160050529 ,27415993306
2016 ,PE ,1508668810 ,2362941179
2016 ,PI ,137155074 ,251610219
2016 ,RJ ,16315877161 ,50282414443
2016 ,RN ,271002906 ,1371991851
2016 ,RS ,14733939011 ,19745153815
2016 ,RO ,824427842 ,1012887654
2016 ,RR ,25720065 ,26375239
2016 ,SC ,9557819495 ,8123479008
2016 ,SP ,52118736189 ,59091202748
2016 ,SE ,104817594 ,91460900
2016 ,TO ,697555050 ,1513260559
2015 ,AC ,27791285 ,42174355
2015 ,Al ,754011863 ,1671916961
2015 ,AP ,249186670 ,601519003
2015 ,AM ,849062481 ,139413958
2015 ,BA ,7440206427 ,10678172975
2015 ,CE ,1067517373 ,557276630
2015 ,DF ,159718593 ,178364399
2015 ,ES ,9330464551 ,60533065888
2015 ,Exterior ,596062 ,23301
2015 ,GO ,4373818466 ,6826055150
2015 ,MA ,3138280526 ,9035425092
2015 ,MT ,10992225344 ,30908907869
2015 ,MS ,3167475048 ,10778817304
2015 ,MG ,22152715749 ,1,9741E+11
2015 ,Não Declarada ,13489 ,407
2015 ,PA ,10201883151 ,1,44385E+11
2015 ,PB ,142807556 ,129291135
2015 ,PR ,16413915420 ,29029258754
2015 ,PE ,1132377329 ,1714242405
2015 ,PI ,320535652 ,762209277
2015 ,RJ ,16866041538 ,43472201120
2015 ,RN ,277132629 ,1339404051
2015 ,RS ,15905971217 ,21942096685
2015 ,RO ,825738736 ,1008196653
2015 ,RR ,3394420 ,5688330
2015 ,SC ,9033867079 ,7212565114
2015 ,SP ,50936741335 ,53363647029
2015 ,SE ,92313236 ,57992872
2015 ,TO ,926551838 ,2246766461
2014 ,AC ,19153583 ,27805347
2014 ,Al ,583167295 ,1497379775
2014 ,AP ,422121548 ,3343881556
2014 ,AM ,954435006 ,132179461
2014 ,BA ,8799853932 ,9869561846
2014 ,CE ,1512216611 ,1148173370
2014 ,DF ,154067203 ,141748695
2014 ,ES ,11912308385 ,57053179121
2014 ,Exterior ,644128 ,4875
2014 ,GO ,4980095683 ,5787755361
2014 ,MA ,2662340994 ,6644815140
2014 ,MT ,11378900100 ,24369459391
2014 ,MS ,3803965011 ,12438605821
2014 ,MG ,28916791725 ,1,78356E+11
2014 ,Não Declarada ,4026 ,12
2014 ,PA ,14232019999 ,1,30303E+11
2014 ,PB ,179927064 ,164656344
2014 ,PR ,17724612867 ,25215359459
2014 ,PE ,1047403057 ,1024631095
2014 ,PI ,163282691 ,222117462
2014 ,RJ ,23079780963 ,40986284188
2014 ,RN ,235078096 ,1009142593
2014 ,RS ,17810754042 ,18543533546
2014 ,RO ,1005707342 ,898223225
2014 ,RR ,19049414 ,28327290
2014 ,SC ,11142325735 ,7400699818
2014 ,SP ,57145859170 ,48154404817
2014 ,SE ,74802597 ,36261680
2014 ,TO ,962568571 ,1598193970
2013 ,AC ,18341443 ,26901016
2013 ,Al ,680678045 ,1437943081
2013 ,AP ,435782983 ,2719962592
2013 ,AM ,1121888869 ,146028010
2013 ,BA ,9389043407 ,9680120618
2013 ,CE ,1461449096 ,882455321
2013 ,DF ,125185937 ,97940912
2013 ,ES ,10471989108 ,50472672643
2013 ,Exterior ,182428 ,6760
2013 ,GO ,4692779027 ,6046022942
2013 ,MA ,2440508030 ,5825048920
2013 ,MT ,11773346473 ,26006056919
2013 ,MS ,3712758713 ,10099499767
2013 ,MG ,31157406919 ,1,5844E+11
2013 ,Não Declarada ,9473 ,396
2013 ,PA ,15911501260 ,1,26276E+11
2013 ,PB ,180689813 ,164155330
2013 ,PR ,19332373954 ,26235130450
2013 ,PE ,831091449 ,757402555
2013 ,PI ,68461651 ,56544742
2013 ,RJ ,22955292533 ,51096645056
2013 ,RN ,234836220 ,487018757
2013 ,RS ,20037891196 ,20448068129
2013 ,RO ,911506828 ,770503500
2013 ,RR ,7377624 ,11555427
2013 ,SC ,11363227741 ,6907115394
2013 ,SP ,62456934694 ,51850035985
2013 ,SE ,71599032 ,41432265
2013 ,TO ,700121660 ,969402436
2012 ,AC ,11804475 ,19882316
2012 ,Al ,921957668 ,1596161099
2012 ,AP ,465402608 ,7018942555
2012 ,AM ,997704331 ,120442533
2012 ,BA ,10539693693 ,11426692063
2012 ,CE ,1587284325 ,593280877
2012 ,DF ,116343831 ,102309558
2012 ,ES ,11740245971 ,53400307337
2012 ,Exterior ,258811 ,1635
2012 ,GO ,5073628293 ,6596288972
2012 ,MA ,3113427812 ,9393812929
2012 ,MT ,10343844262 ,20519786062
2012 ,MS ,2938462723 ,8139616394
2012 ,MG ,31449546885 ,1,53506E+11
2012 ,Não Declarada ,2970910 ,1541469
2012 ,PA ,14784227314 ,1,17467E+11
2012 ,PB ,209699520 ,207623383
2012 ,PR ,19758509190 ,25883526328
2012 ,PE ,854396543 ,786382304
2012 ,PI ,95559995 ,94542951
2012 ,RJ ,30208986960 ,60019518655
2012 ,RN ,236903545 ,352853544
2012 ,RS ,16791120572 ,15051750927
2012 ,RO ,812007916 ,726134532
2012 ,RR ,11774277 ,15811766
2012 ,SC ,11134790465 ,6620251360
2012 ,SP ,64965186509 ,45277896811
2012 ,SE ,135607995 ,66976844
2012 ,TO ,651190759 ,927068593
2011 ,AC ,19844302 ,28159521
2011 ,Al ,1235728627 ,1919133415
2011 ,AP ,604359627 ,5785667990
2011 ,AM ,957161035 ,137212925
2011 ,BA ,10432620486 ,10826171673
2011 ,CE ,1791396127 ,747181344
2011 ,DF ,99187110 ,127002697
2011 ,ES ,14992431188 ,57521940994
2011 ,Exterior ,1213507 ,19146
2011 ,GO ,4237687735 ,5042968948
2011 ,MA ,3080214021 ,9651646620
2011 ,MT ,8175236224 ,16519678439
2011 ,MS ,3060104204 ,9072848307
2011 ,MG ,38819952733 ,1,53798E+11
2011 ,Não Declarada ,139848 ,73737
2011 ,PA ,18238116082 ,1,16006E+11
2011 ,PB ,197258223 ,221203954
2011 ,PR ,19519787669 ,23229666476
2011 ,PE ,1154601592 ,1136952868
2011 ,PI ,57013761 ,14354673
2011 ,RJ ,30535215005 ,64647789421
2011 ,RN ,260893074 ,605561299
2011 ,RS ,17911819504 ,17076603650
2011 ,RO ,595939288 ,580936559
2011 ,RR ,10320689 ,11351694
2011 ,SC ,10738746137 ,5964854159
2011 ,SP ,66301046701 ,42567441920
2011 ,SE ,131160172 ,60627050
2011 ,TO ,507114836 ,784540737
2010 ,AC ,20601404 ,28088441
2010 ,Al ,859373825 ,1774530264
2010 ,AP ,349110650 ,4357302180
2010 ,AM ,1259261923 ,134758380
2010 ,BA ,8465544772 ,10319598858
2010 ,CE ,1261556548 ,546817992
2010 ,DF ,44247185 ,64114736
2010 ,ES ,11859442986 ,55421363895
2010 ,Exterior ,5377055 ,15001272
2010 ,GO ,2931267697 ,4189023829
2010 ,MA ,2130871779 ,7779187929
2010 ,MT ,5970824636 ,15594687963
2010 ,MS ,2240759341 ,7231856574
2010 ,MG ,29212219484 ,1,51261E+11
2010 ,Não Declarada ,38841 ,272
2010 ,PA ,13622562122 ,1,09998E+11
2010 ,PB ,212178315 ,155104724
2010 ,PR ,15769318620 ,22311291545
2010 ,PE ,1064353728 ,1212146853
2010 ,PI ,75879928 ,36856610
2010 ,RJ ,21898537937 ,59326960981
2010 ,RN ,265616394 ,892774670
2010 ,RS ,13533676120 ,12988516516
2010 ,RO ,478025789 ,513526284
2010 ,RR ,10420234 ,12846682
2010 ,SC ,9262271925 ,5145443879
2010 ,SP ,57218218091 ,47696126245
2010 ,SE ,70135891 ,36566323
2010 ,TO ,342441606 ,697783889
2009 ,AC ,15613222 ,24190568
2009 ,Al ,741097671 ,1974230447
2009 ,AP ,182120378 ,2789998319
2009 ,AM ,1040889389 ,126316284
2009 ,BA ,6678651690 ,9455375396
2009 ,CE ,1080352869 ,527260001
2009 ,DF ,35553717 ,59381750
2009 ,ES ,6423328313 ,38214133195
2009 ,Exterior ,5484984 ,12012664
2009 ,GO ,2527848566 ,3830924277
2009 ,MA ,1330102978 ,4173020652
2009 ,MT ,5960365020 ,15596960745
2009 ,MS ,1484209964 ,4918768056
2009 ,MG ,18036691502 ,1,34517E+11
2009 ,Não Declarada ,46945 ,14995
2009 ,PA ,8318709673 ,98836174492
2009 ,PB ,163371220 ,108542998
2009 ,PR ,12534510175 ,19412689299
2009 ,PE ,795276547 ,1094617837
2009 ,PI ,114898354 ,173534812
2009 ,RJ ,15838414528 ,55295042110
2009 ,RN ,250424868 ,1055125418
2009 ,RS ,12815258150 ,12253795558
2009 ,RO ,390104520 ,556769550
2009 ,RR ,11820824 ,18238074
2009 ,SC ,7725521743 ,4433539100
2009 ,SP ,46970903328 ,44971660637
2009 ,SE ,53007927 ,260326250
2009 ,TO ,267095121 ,565729434
2008 ,AC ,20764535 ,31001661
2008 ,Al ,889898721 ,2773928616
2008 ,AP ,194378761 ,1092320628
2008 ,AM ,1334893991 ,161374136
2008 ,BA ,9747025811 ,11198796313
2008 ,CE ,1296138466 ,518875789
2008 ,DF ,45198677 ,59384169
2008 ,ES ,10330902976 ,49524713588
2008 ,Exterior ,926500 ,7608
2008 ,GO ,2805139089 ,3664618760
2008 ,MA ,3152485121 ,11033697491
2008 ,MT ,4821748902 ,10655301061
2008 ,MS ,1553324539 ,5647863952
2008 ,MG ,23380358195 ,1,50612E+11
2008 ,PA ,10323825779 ,97016526244
2008 ,PB ,231255502 ,159134225
2008 ,PR ,16004082330 ,19259541426
2008 ,PE ,995657946 ,1261452496
2008 ,PI ,86581105 ,74212369
2008 ,RJ ,18672435084 ,37078545503
2008 ,RN ,333356104 ,619187117
2008 ,RS ,14653666566 ,11923570516
2008 ,RO ,479791098 ,458072896
2008 ,RR ,11984794 ,19553526
2008 ,SC ,9910361678 ,5729831123
2008 ,SP ,64085243907 ,47036589401
2008 ,SE ,105549778 ,592139836
2008 ,TO ,297648222 ,559208945
2007 ,AC ,18981325 ,29135991
2007 ,Al ,701869872 ,2195551780
2007 ,AP ,128007305 ,658008782
2007 ,AM ,1183942986 ,154863185
2007 ,BA ,7686101050 ,10136615319
2007 ,CE ,1174034710 ,518543564
2007 ,DF ,18902086 ,39447494
2007 ,ES ,7077562863 ,51255502208
