Ano,Descricao,Total,Quilograma
jan/09,Suco_de_laranja,85240177,591210
fev/09,Suco_de_laranja,51856177,338221
mar/09,Suco_de_laranja,67429244,636790
abr/09,Suco_de_laranja,28008188,736778
mai/09,Suco_de_laranja,73634338,434534
jun/09,Suco_de_laranja,49832249,1009925
jul/09,Suco_de_laranja,40890304,2007959
ago/09,Suco_de_laranja,66380487,3549002
set/09,Suco_de_laranja,52302964,2361826
out/09,Suco_de_laranja,53354879,2355309
nov/09,Suco_de_laranja,63554148,2125010
dez/09,Suco_de_laranja,73413812,1852419
jan/10,Suco_de_laranja,29745798,547172
fev/10,Suco_de_laranja,57076087,817000
mar/10,Suco_de_laranja,83137449,357215
abr/10,Suco_de_laranja,57417596,321213
mai/10,Suco_de_laranja,47294085,331168
jun/10,Suco_de_laranja,35384447,1290057
jul/10,Suco_de_laranja,63939695,1806140
ago/10,Suco_de_laranja,66794784,2373079
set/10,Suco_de_laranja,87577413,2635906
out/10,Suco_de_laranja,57090038,1508542
nov/10,Suco_de_laranja,47309798,1696256
dez/10,Suco_de_laranja,52451807,14895002
jan/11,Suco_de_laranja,61322949,12782167
fev/11,Suco_de_laranja,79287309,5742595
mar/11,Suco_de_laranja,43800847,9297206
abr/11,Suco_de_laranja,43254458,5235908
mai/11,Suco_de_laranja,35789658,5165375
jun/11,Suco_de_laranja,89280170,4912315
jul/11,Suco_de_laranja,65887892,6832275
ago/11,Suco_de_laranja,109072203,10561959
set/11,Suco_de_laranja,81555498,10975627
out/11,Suco_de_laranja,82482522,11614147
nov/11,Suco_de_laranja,99371555,9115727
dez/11,Suco_de_laranja,96366372,10049795
jan/12,Suco_de_laranja,59291380,9369372
fev/12,Suco_de_laranja,133215161,54355892
mar/12,Suco_de_laranja,100110628,45233717
abr/12,Suco_de_laranja,37659173,17027338
mai/12,Suco_de_laranja,51529350,24153917
jun/12,Suco_de_laranja,59568529,28789498
jul/12,Suco_de_laranja,82427382,40689993
ago/12,Suco_de_laranja,91301858,47981697
set/12,Suco_de_laranja,102202806,54727468
out/12,Suco_de_laranja,104606188,53097131
nov/12,Suco_de_laranja,84299339,45052519
dez/12,Suco_de_laranja,64702833,33010617
jan/13,Suco_de_laranja,133443531,71343195
fev/13,Suco_de_laranja,61071933,32015819
mar/13,Suco_de_laranja,114156823,59244270
abr/13,Suco_de_laranja,116067102,63207001
mai/13,Suco_de_laranja,62248551,34484970
jun/13,Suco_de_laranja,89501427,47248549
jul/13,Suco_de_laranja,63910042,34507690
ago/13,Suco_de_laranja,85368233,48294146
set/13,Suco_de_laranja,67135783,35651368
out/13,Suco_de_laranja,84569967,46292386
nov/13,Suco_de_laranja,100754996,54966669
dez/13,Suco_de_laranja,79703019,44375847
jan/14,Suco_de_laranja,103351392,58312113
fev/14,Suco_de_laranja,93924193,53973604
mar/14,Suco_de_laranja,56137711,30346811
abr/14,Suco_de_laranja,79406168,45171693
mai/14,Suco_de_laranja,53588535,29990492
jun/14,Suco_de_laranja,79424559,44167673
jul/14,Suco_de_laranja,37037793,20916921
ago/14,Suco_de_laranja,57606200,32868706
set/14,Suco_de_laranja,110519364,61516071
out/14,Suco_de_laranja,120380798,67819285
nov/14,Suco_de_laranja,32459148,18273203
dez/14,Suco_de_laranja,116480192,67342322
jan/15,Suco_de_laranja,91832454,51533374
fev/15,Suco_de_laranja,66660700,37907261
mar/15,Suco_de_laranja,150276967,90078935
abr/15,Suco_de_laranja,53425714,32022998
mai/15,Suco_de_laranja,88885958,53606644
jun/15,Suco_de_laranja,106228261,65070200
jul/15,Suco_de_laranja,79697534,51961766
ago/15,Suco_de_laranja,28563850,18338319
set/15,Suco_de_laranja,46969269,29615510
out/15,Suco_de_laranja,68575672,44168676
nov/15,Suco_de_laranja,70410633,46032200
dez/15,Suco_de_laranja,58083689,37754631
jan/16,Suco_de_laranja,64436881,41348048
fev/16,Suco_de_laranja,128916071,83021428
mar/16,Suco_de_laranja,57796601,37360454
abr/16,Suco_de_laranja,84514067,54624215
mai/16,Suco_de_laranja,30826614,19678366
jun/16,Suco_de_laranja,65329598,44112225
jul/16,Suco_de_laranja,65948196,43044726
ago/16,Suco_de_laranja,48075656,29089213
set/16,Suco_de_laranja,77377889,45531307
out/16,Suco_de_laranja,54216164,29438157
nov/16,Suco_de_laranja,88512406,50125441
