PIB,Commodities,Cambio;;
11.87,5.88,1.03;;
11.86,5.75,1.07;;
11.99,7.13,1.07;;
11.98,8.34,1.07;;
11.98,8.83,1.13;;
12.00,9.22,1.14;;
12.03,9.30,1.11;;
12.03,9.38,1.11;;
12.04,9.41,1.07;;
12.07,9.13,1.05;;
12.09,8.31,1.03;;
12.06,5.58,1.01;;
11.99,5.33,1.00;;
11.98,7.03,0.95;;
12.09,7.81,1.02;;
12.09,8.49,0.95;;
12.09,8.90,0.90;;
12.10,8.95,0.89;;
12.11,9.01,0.85;;
12.14,9.20,0.85;;
12.13,9.09,0.83;;
12.17,8.41,0.81;;
12.19,7.17,0.79;;
12.17,4.47,0.83;;
12.11,5.94,0.82;;
12.08,6.17,0.76;;
12.18,7.23,0.75;;
12.15,7.73,0.76;;
12.20,8.12,0.78;;
12.18,8.57,0.83;;
12.22,8.69,0.79;;
12.25,9.04,0.76;;
12.23,8.52,0.77;;
12.30,8.46,0.76;;
12.31,7.48,0.77;;
12.28,7.10,0.76;;
12.24,7.55,0.76;;
12.21,7.57,0.74;;
12.32,7.49,0.74;;
12.30,8.08,0.70;;
12.34,8.34,0.69;;
12.32,8.24,0.65;;
12.35,8.38,0.63;;
12.36,8.60,0.70;;
12.33,8.46,0.64;;
12.41,7.93,0.59;;
12.40,5.98,0.55;;
12.38,6.04,0.59;;
12.36,6.16,0.56;;
12.35,6.14,0.56;;
12.42,6.77,0.53;;
12.44,7.39,0.52;;
12.45,7.62,0.51;;
12.47,7.87,0.49;;
12.51,7.84,0.46;;
12.50,8.17,0.49;;
12.52,8.12,0.59;;
12.56,7.90,0.77;;
12.51,6.72,0.82;;
12.46,5.61,0.86;;
12.41,6.08,0.87;;
12.40,5.73,0.82;;
12.50,6.78,0.83;;
12.48,7.53,0.79;;
12.50,7.96,0.73;;
12.51,7.99,0.67;;
12.55,8.53,0.66;;
12.55,8.10,0.61;;
12.57,7.97,0.59;;
12.64,7.47,0.53;;
12.64,6.34,0.55;;
12.62,6.35,0.56;;
12.56,6.46,0.57;;
12.55,6.53,0.62;;
12.67,6.98,0.57;;
12.65,7.42,0.56;;
12.66,7.73,0.59;;
12.67,8.15,0.59;;
12.70,7.93,0.57;;
12.71,8.14,0.57;;
12.73,7.84,0.54;;
12.77,6.93,0.51;;
12.79,6.00,0.54;;
12.76,6.24,0.53;;
12.70,6.05,0.52;;
12.71,6.36,0.51;;
12.78,7.07,0.51;;
12.78,6.83,0.46;;
12.82,7.17,0.49;;
12.80,7.32,0.47;;
12.81,7.24,0.45;;
12.83,7.31,0.47;;
12.82,7.37,0.54;;
12.86,7.02,0.55;;
12.88,6.29,0.57;;
12.86,6.08,0.62;;
12.81,5.75,0.58;;
12.81,6.45,0.54;;
12.89,6.76,0.59;;
12.86,6.80,0.61;;
12.90,7.25,0.69;;
12.89,7.66,0.72;;
12.92,7.09,0.71;;
12.95,7.38,0.71;;
12.91,7.33,0.70;;
12.97,7.29,0.70;;
12.96,6.26,0.71;;
12.93,6.23,0.73;;
12.92,6.62,0.71;;
12.89,6.67,0.67;;
12.98,7.00,0.68;;
13.01,7.17,0.68;;
13.00,7.32,0.70;;
12.98,7.38,0.76;;
13.02,7.45,0.81;;
13.03,7.27,0.85;;
13.01,7.35,0.82;;
13.07,6.96,0.78;;
13.06,6.10,0.85;;
13.05,5.90,0.85;;
13.02,6.15,0.85;;
13.03,6.22,0.87;;
13.08,6.55,0.86;;
13.08,7.39,0.80;;
13.08,7.25,0.80;;
13.04,7.41,0.80;;
13.10,7.78,0.80;;
13.09,7.50,0.82;;
13.11,7.37,0.85;;
13.14,7.24,0.89;;
13.12,6.03,0.96;;
13.12,6.36,0.98;;
