"Ano,Mes,""Codigo SH4"",""Descrição SH4"",""Valor FOB (US$)"""
"2013,03,1201,""Soja, mesmo triturada"",1910515708"
"2013,09,1201,""Soja, mesmo triturada"",1851415204"
"2013,10,1201,""Soja, mesmo triturada"",819712043"
"2013,02,1201,""Soja, mesmo triturada"",516592214"
"2013,11,1201,""Soja, mesmo triturada"",349309289"
"2013,12,1201,""Soja, mesmo triturada"",23416589"
"2013,01,1201,""Soja, mesmo triturada"",257122"
"2012,05,1201,""Soja, mesmo triturada"",3841228880"
"2012,06,1201,""Soja, mesmo triturada"",2591946308"
"2012,04,1201,""Soja, mesmo triturada"",2261503830"
"2012,07,1201,""Soja, mesmo triturada"",2249733126"
"2012,03,1201,""Soja, mesmo triturada"",2062711601"
"2012,08,1201,""Soja, mesmo triturada"",1426016258"
"2012,09,1201,""Soja, mesmo triturada"",1009436666"
"2012,02,1201,""Soja, mesmo triturada"",715515063"
"2012,10,1201,""Soja, mesmo triturada"",573738630"
"2012,01,1201,""Soja, mesmo triturada"",461791913"
"2012,11,1201,""Soja, mesmo triturada"",166140844"
"2012,12,1201,""Soja, mesmo triturada"",90022497"
"2011,05,1201,""Soja, mesmo triturada"",2558511249"
"2011,04,1201,""Soja, mesmo triturada"",2417293269"
"2011,06,1201,""Soja, mesmo triturada"",2231998393"
"2011,08,1201,""Soja, mesmo triturada"",1898957277"
"2011,07,1201,""Soja, mesmo triturada"",1841148599"
"2011,09,1201,""Soja, mesmo triturada"",1458146614"
"2011,03,1201,""Soja, mesmo triturada"",1383486048"
"2011,11,1201,""Soja, mesmo triturada"",878197383"
"2011,10,1201,""Soja, mesmo triturada"",739963658"
"2011,12,1201,""Soja, mesmo triturada"",696235790"
"2011,02,1201,""Soja, mesmo triturada"",111012045"
"2011,01,1201,""Soja, mesmo triturada"",107134951"
"2010,05,1201,""Soja, mesmo triturada"",2089591498"
"2010,04,1201,""Soja, mesmo triturada"",1797294094"
"2010,07,1201,""Soja, mesmo triturada"",1495975867"
"2010,06,1201,""Soja, mesmo triturada"",1488413735"
"2010,03,1201,""Soja, mesmo triturada"",1164902411"
"2010,08,1201,""Soja, mesmo triturada"",1155819865"
"2010,09,1201,""Soja, mesmo triturada"",824129024"
"2010,10,1201,""Soja, mesmo triturada"",430532901"
"2010,02,1201,""Soja, mesmo triturada"",265511705"
"2010,12,1201,""Soja, mesmo triturada"",145958502"
"2010,11,1201,""Soja, mesmo triturada"",139526287"
"2010,01,1201,""Soja, mesmo triturada"",45344090"
"2009,06,1201,""Soja, mesmo triturada"",2576884548"
"2009,05,1201,""Soja, mesmo triturada"",1723759803"
"2009,04,1201,""Soja, mesmo triturada"",1541992716"
"2009,07,1201,""Soja, mesmo triturada"",1467994595"
"2009,08,1201,""Soja, mesmo triturada"",1306234492"
"2009,03,1201,""Soja, mesmo triturada"",973432461"
"2009,09,1201,""Soja, mesmo triturada"",817739522"
"2009,10,1201,""Soja, mesmo triturada"",315674629"
"2009,02,1201,""Soja, mesmo triturada"",264420003"
"2009,01,1201,""Soja, mesmo triturada"",252959462"
"2009,12,1201,""Soja, mesmo triturada"",99044463"
"2009,11,1201,""Soja, mesmo triturada"",84128257"
"2008,07,1201,""Soja, mesmo triturada"",1901275553"
"2008,05,1201,""Soja, mesmo triturada"",1860281570"
"2008,06,1201,""Soja, mesmo triturada"",1506029479"
"2008,04,1201,""Soja, mesmo triturada"",1397622773"
"2008,08,1201,""Soja, mesmo triturada"",1219805263"
"2008,09,1201,""Soja, mesmo triturada"",900387877"
"2008,03,1201,""Soja, mesmo triturada"",561759980"
"2008,10,1201,""Soja, mesmo triturada"",524600381"
"2008,12,1201,""Soja, mesmo triturada"",332309772"
"2008,11,1201,""Soja, mesmo triturada"",311204065"
"2008,01,1201,""Soja, mesmo triturada"",250720594"
"2008,02,1201,""Soja, mesmo triturada"",186175798"
"2007,07,1201,""Soja, mesmo triturada"",859556936"
"2007,04,1201,""Soja, mesmo triturada"",844895958"
"2007,05,1201,""Soja, mesmo triturada"",825729511"
"2007,06,1201,""Soja, mesmo triturada"",817432365"
"2007,08,1201,""Soja, mesmo triturada"",763424128"
"2007,10,1201,""Soja, mesmo triturada"",664188525"
"2007,03,1201,""Soja, mesmo triturada"",561777651"
"2007,09,1201,""Soja, mesmo triturada"",543682814"
