Ano,UF do Municipio,Quilograma Liquido
2011,BA,10826171673
2011,CE,747181344
2011,DF,127002697
2011,ES,57521940994
2011,Exterior,19146
2011,GO,5042968948
2011,MA,9651646620
2011,MT,16519678439
2011,MS,9072848307
2011,MG,1,53798E+11
2011,Não Declarada,73737
2011,PA,1,16006E+11
2011,PB,221203954
2011,PR,23229666476
2011,PE,1136952868
2011,PI,14354673
2011,RJ,64647789421
2011,RN,605561299
2011,RS,17076603650
2011,RO,580936559
2011,RR,11351694
2011,SC,5964854159
2011,SP,42567441920
2011,SE,60627050
2011,TO,784540737
2010,AC,28088441
2010,Al,1774530264
2010,AP,4357302180
2010,AM,134758380
2010,BA,10319598858
2010,CE,546817992
2010,DF,64114736
2010,ES,55421363895
2010,Exterior,15001272
2010,GO,4189023829
2010,MA,7779187929
2010,MT,15594687963
2010,MS,7231856574
2010,MG,1,51261E+11
2010,Não Declarada,272
2010,PA,1,09998E+11
2010,PB,155104724
2010,PR,22311291545
2010,PE,1212146853
2010,PI,36856610
2010,RJ,59326960981
2010,RN,892774670
2010,RS,12988516516
2010,RO,513526284
2010,RR,12846682
2010,SC,5145443879
2010,SP,47696126245
2010,SE,36566323
2010,TO,697783889
2009,AC,24190568
2009,Al,1974230447
2009,AP,2789998319
2009,AM,126316284
2009,BA,9455375396
2009,CE,527260001
2009,DF,59381750
2009,ES,38214133195
2009,Exterior,12012664
2009,GO,3830924277
2009,MA,4173020652
2009,MT,15596960745
2009,MS,4918768056
2009,MG,1,34517E+11
2009,Não Declarada,14995
2009,PA,98836174492
2009,PB,108542998
2009,PR,19412689299
2009,PE,1094617837
2009,PI,173534812
2009,RJ,55295042110
2009,RN,1055125418
2009,RS,12253795558
2009,RO,556769550
2009,RR,18238074
2009,SC,4433539100
2009,SP,44971660637
2009,SE,260326250
2009,TO,565729434
2008,AC,31001661
2008,Al,2773928616
2008,AP,1092320628
2008,AM,161374136
2008,BA,11198796313
2008,CE,518875789
2008,DF,59384169
2008,ES,49524713588
2008,Exterior,7608
2008,GO,3664618760
2008,MA,11033697491
2008,MT,10655301061
2008,MS,5647863952
2008,MG,1,50612E+11
2008,PA,97016526244
2008,PB,159134225
2008,PR,19259541426
2008,PE,1261452496
2008,PI,74212369
2008,RJ,37078545503
2008,RN,619187117
2008,RS,11923570516
2008,RO,458072896
2008,RR,19553526
2008,SC,5729831123
2008,SP,47036589401
2008,SE,592139836
2008,TO,559208945
2007,AC,29135991
2007,Al,2195551780
2007,AP,658008782
2007,AM,154863185
2007,BA,10136615319
2007,CE,518543564
2007,DF,39447494
2007,ES,51255502208
2007,Exterior,6160
2007,GO,4101057291
2007,MA,10737230243
2007,MT,9807798327
2007,MS,3991925849
2007,MG,1,53467E+11
2007,Não Declarada,162
2007,PA,89560261806
2007,PB,416427511
2007,PR,21459808757
2007,PE,1335998922
2007,PI,26470867
2007,RJ,28372711384
2007,RN,1024964679
2007,RS,12662933600
2007,RO,240978267
2007,RR,21546352
2007,SC,6653345527
2007,SP,51129892912
2007,SE,1117313099
2007,TO,349946680
2006,AC,29680134
2006,Al,2331306388
2006,AP,888898920
2006,AM,126357454
2006,BA,9692845395
2006,CE,697532327
2006,DF,55583943
2006,ES,51426783897
2006,Exterior,1507100
2006,GO,3226701956
2006,MA,9758952910
2006,MT,9851327249
2006,MS,4448754690
2006,MG,1,34592E+11
2006,Não Declarada,95
2006,PA,83741276313
2006,PB,517047777
2006,PR,18816968166
2006,PE,1003850728
2006,PI,31970393
2006,RJ,24496095828
2006,RN,1206826634
2006,RS,10888744551
2006,RO,219898187
2006,RR,31005570
2006,SC,5517869384
2006,SP,49641117908
2006,SE,531181429
2006,TO,485735768
2005,AC,29742109
2005,Al,2167504368
2005,AP,914764625
2005,AM,187038738
2005,BA,10520653919
2005,CE,652891627
2005,DF,26927695
2005,ES,51062264689
2005,Exterior,13542
2005,GO,3937827260
2005,MA,12198943343
2005,MT,10727388710
2005,MS,3488566960
2005,MG,1,25906E+11
2005,Não Declarada,3437084
2005,PA,74584979329
2005,PB,515440246
2005,PR,16142383868
2005,PE,1145975979
2005,PI,124608158
2005,RJ,20621403033
2005,RN,1471683879
2005,RS,8378276116
2005,RO,316544992
2005,RR,39255161
2005,SC,5838011138
2005,SP,44751557162
2005,SE,517837453
2005,TO,552901610
2004,AC,21282088
2004,Al,2121334341
2004,AP,806344067
2004,AM,197718805
2004,BA,8197704414
2004,CE,422305687
2004,DF,16559050
2004,ES,52403201448
2004,Exterior,44526
2004,GO,2742965421
2004,MA,13122249157
2004,MT,5360888440
2004,MS,2726526470
2004,MG,1,13222E+11
2004,PA,70889688660
2004,PB,445327912
2004,PR,19920665627
2004,PE,917376285
2004,PI,128372360
2004,RJ,16715457138
2004,RN,2208321083
2004,RS,11217294021
2004,RO,243723580
2004,RR,18225577
2004,SC,5743347322
2004,SP,45055527681
2004,SE,401658351
2004,TO,369964886
2003,AC,8197822
2003,Al,1860052131
2003,AP,398407971
2003,AM,213637432
2003,BA,7128796262
2003,CE,528852913
2003,DF,6284308
2003,ES,47137620539
2003,Exterior,18038
2003,GO,1956461440
2003,MA,6178817540
2003,MT,4234776342
2003,MS,2725275050
2003,MG,91956458003
2003,PA,55306416607
2003,PB,240237847
2003,PR,15798013605
2003,PE,841183842
2003,PI,35449058
2003,RJ,22015788059
2003,RN,1154199797
2003,RS,11438867057
2003,RO,198252965
2003,RR,12517464
2003,SC,5434592452
2003,SP,43675986316
2003,SE,307494592
2003,TO,208647181
2002,AC,6875721
2002,Al,1582470702
2002,AP,280012019
2002,AM,168589905
2002,BA,6240432807
2002,CE,290780927
2002,DF,11356738
2002,ES,44611052289
2002,Exterior,47829
2002,GO,1305500231
2002,MA,3797132804
2002,MT,3847656025
2002,MS,2096609987
2002,MG,83182326794
2002,PA,55864184557
2002,PB,266744337
2002,PR,14170805501
2002,PE,580587392
2002,PI,22932823
2002,RJ,24641923819
2002,RN,643149210
2002,RS,8672529917
2002,RO,164638336
2002,RR,27497555
2002,SC,4766306401
2002,SP,38059625097
2002,SE,123522338
2002,TO,36513872
2001,AC,3895502
2001,Al,1289384658
2001,AP,375407451
2001,AM,157441135
2001,BA,6950745476
2001,CE,764831153
2001,DF,8691414
2001,ES,41034814787
2001,Exterior,8737
2001,GO,1309780167
2001,MA,3292526077
2001,MT,3990639729
2001,MS,1678045296
2001,MG,66761500576
2001,PA,54118521006
2001,PB,108312282
2001,PR,14243599753
2001,PE,605447652
2001,PI,16621357
2001,RJ,29127698032
2001,RN,684342146
2001,RS,8873893058
2001,RO,123039144
2001,RR,22941201
2001,SC,4289229704
2001,SP,32696304599
2001,SE,12747873
2001,TO,5340920
2000,AC,2327850
2000,Al,906857849
2000,AP,488613075
2000,AM,167269839
2000,BA,4616532417
2000,CE,229705207
2000,DF,4169762
2000,ES,45592878355
2000,Exterior,630
2000,GO,979512949
2000,MA,3172371729
2000,MT,2644870136
2000,MS,2194792089
2000,MG,64459960963
2000,Não Declarada,145002
2000,PA,50311783291
2000,PB,89222782
2000,PR,9770771759
2000,PE,436150756
2000,PI,18284701
2000,RJ,25368838808
2000,RN,801680129
2000,RS,6214010220
2000,RO,127132087
2000,RR,24089875
2000,SC,3861404182
2000,SP,22008157200
2000,SE,44736895
2000,TO,1130740
1999,AC,7692177
1999,Al,961507474
1999,AP,593736241
1999,AM,144421179
1999,BA,4644932625
1999,CE,205482308
1999,DF,1944665
1999,ES,41095081318
1999,Exterior,3700
1999,GO,641075795
1999,MA,2052689193
1999,MT,1672272144
1999,MS,1796752414
1999,MG,61945475832
1999,Não Declarada,22692
1999,PA,47465633702
1999,PB,68055201
1999,PR,10488668199
1999,PE,563316533
1999,PI,18876526
1999,RJ,19988929335
1999,RN,553469132
1999,RS,5354343024
1999,RO,133067487
1999,RR,18124617
1999,SC,4301314473
1999,SP,23774204293
1999,SE,51221986
1999,TO,1233118
1998,AC,2646492
1998,Al,962405073
1998,AP,850014183
1998,AM,128423340
1998,BA,5337286171
1998,CE,338456513
1998,DF,43654515
1998,ES,39207453258
1998,GO,477125139
1998,MA,2341834491
1998,MT,1139848666
1998,MS,2390539254
1998,MG,67765451925
1998,Não Declarada,24388
1998,PA,48179035021
1998,PB,90139824
1998,PR,9782225263
1998,PE,660381819
1998,PI,51656008
1998,RJ,23681933444
1998,RN,336090532
1998,RS,5432663713
1998,RO,60760390
1998,RR,9745460
1998,SC,3437718027
1998,SP,17374375210
1998,SE,46530613
1998,TO,24623814
1997,AC,1187771
1997,Al,1061990796
1997,AP,700963785
1997,AM,126872495
1997,BA,4041628735
1997,CE,292047579
1997,DF,26596403
1997,ES,37327473997
1997,Exterior,9700
1997,GO,657110942
1997,MA,1882613457
1997,MT,1964683119
1997,MS,2706621065
1997,MG,63260106448
1997,PA,47311493533
1997,PB,135875843
1997,PR,8501202224
1997,PE,677325099
1997,PI,22257954
1997,RJ,12718591437
1997,RN,181598548
1997,RS,5494470227
1997,RO,50001874
1997,RR,4801632
1997,SC,3083451343
1997,SP,16487655764
1997,SE,88437264
1997,TO,10757906
